ID: CMSSW
Metadata: (strobe,) start of orbit, start of packet, end of packet, valid

      Link              000        
Frame 0000    1111 00000000000007e2
Frame 0001    0111 00000000000007b8
Frame 0002    0111 000000000000061a
Frame 0003    0111 00000000000007e6
Frame 0004    0111 0000000000000766
Frame 0005    0111 00000000000007b2
Frame 0006    0111 00000000000006a0
Frame 0007    0111 00000000000007dc
Frame 0008    0111 00000000000007e6
Frame 0009    0111 00000000000007de
Frame 0010    0111 00000000000007e6
Frame 0011    0111 00000000000007ae
Frame 0012    0111 00000000000007e6
Frame 0013    0111 00000000000007dc
Frame 0014    0111 00000000000007e0
Frame 0015    0111 00000000000007be
Frame 0016    0111 000000000000060a
Frame 0017    0111 00000000000007e6
Frame 0018    0111 00000000000007e6
Frame 0019    0111 00000000000007e6
Frame 0020    0111 000000000000078c
Frame 0021    0111 00000000000007e2
Frame 0022    0111 0000000000000786
Frame 0023    0111 00000000000007c2
Frame 0024    0111 00000000000007d4
Frame 0025    0111 00000000000005a4
Frame 0026    0111 00000000000007e6
Frame 0027    0111 00000000000007e6
Frame 0028    0111 0000000000000796
Frame 0029    0111 00000000000007e4
Frame 0030    0111 00000000000007e0
Frame 0031    0111 00000000000002d0
Frame 0032    0111 00000000000007da
Frame 0033    0111 00000000000007d2
Frame 0034    0111 0000000000000780
Frame 0035    0111 00000000000004bc
Frame 0036    0111 00000000000005f8
Frame 0037    0111 0000000000000508
Frame 0038    0111 00000000000002ba
Frame 0039    0111 0000000000000574
Frame 0040    0111 00000000000007e6
Frame 0041    0111 000000000000078c
Frame 0042    0111 000000000000070e
Frame 0043    0111 00000000000007e0
Frame 0044    0111 00000000000007a2
Frame 0045    0111 00000000000007a2
Frame 0046    0111 00000000000005de
Frame 0047    0111 00000000000007d6
Frame 0048    0111 0000000000000750
Frame 0049    0111 000000000000043e
Frame 0050    0111 00000000000006ea
Frame 0051    0111 00000000000007bc
Frame 0052    0111 000000000000070e
Frame 0053    0111 00000000000007de
Frame 0054    0111 00000000000007b8
